,county_fips,party,days_until_election,date_donation_amt,date_donation_cnt,day_cut,cut_donations,cut_count
0,1001,DEM,572.0,100,1,"(550, 600]",100.0,1.0
1,1001,REP,543.0,15,1,"(500, 550]",265.0,2.0
2,1001,REP,573.0,15,1,"(550, 600]",485.0,3.0
10,1003,DEM,425.0,247,3,"(400, 450]",22789.0,42.0
11,1003,DEM,558.0,50,1,"(550, 600]",360.0,11.0
21,1003,DEM,615.0,25,1,"(600, 650]",75.0,3.0
24,1003,REP,539.0,80,1,"(500, 550]",1740.0,16.0
25,1003,REP,551.0,150,2,"(550, 600]",5615.0,24.0
28,1003,REP,603.0,100,1,"(600, 650]",300.0,3.0
34,1005,DEM,567.0,85,1,"(550, 600]",265.0,3.0
37,1005,REP,617.0,2700,1,"(600, 650]",2700.0,1.0
41,1009,REP,540.0,50,1,"(500, 550]",470.0,7.0
43,1009,REP,554.0,140,2,"(550, 600]",420.0,6.0
45,1009,REP,630.0,150,1,"(600, 650]",150.0,1.0
46,1011,DEM,595.0,5,1,"(550, 600]",5.0,1.0
47,1011,REP,552.0,45,1,"(550, 600]",3240.0,7.0
54,1015,REP,529.0,30,2,"(500, 550]",280.0,8.0
57,1015,REP,552.0,55,3,"(550, 600]",465.0,11.0
71,1017,REP,594.0,5000,2,"(550, 600]",5000.0,2.0
74,1019,DEM,560.0,25,1,"(550, 600]",105.0,5.0
79,1019,DEM,609.0,225,1,"(600, 650]",235.0,2.0
81,1019,REP,538.0,15,1,"(500, 550]",1165.0,3.0
86,1025,DEM,562.0,50,1,"(550, 600]",50.0,1.0
87,1025,DEM,648.0,50,1,"(600, 650]",50.0,1.0
91,1029,DEM,586.0,500,1,"(550, 600]",550.0,2.0
93,1029,DEM,602.0,200,1,"(600, 650]",200.0,1.0
97,1031,DEM,606.0,200,1,"(600, 650]",200.0,1.0
102,1031,REP,543.0,15,1,"(500, 550]",105.0,3.0
103,1031,REP,573.0,15,1,"(550, 600]",65.0,2.0
104,1031,REP,602.0,2700,1,"(600, 650]",2700.0,1.0
110,1033,DEM,575.0,100,1,"(550, 600]",200.0,2.0
112,1033,DEM,608.0,100,1,"(600, 650]",100.0,1.0
115,1033,REP,551.0,200,1,"(550, 600]",382.0,3.0
118,1035,DEM,606.0,200,1,"(600, 650]",200.0,1.0
124,1037,DEM,585.0,400,1,"(550, 600]",400.0,1.0
125,1037,REP,545.0,15,1,"(500, 550]",15.0,1.0
128,1039,REP,589.0,500,1,"(550, 600]",500.0,1.0
129,1039,REP,602.0,2700,1,"(600, 650]",2700.0,1.0
131,1041,REP,543.0,15,1,"(500, 550]",65.0,2.0
132,1041,REP,573.0,15,1,"(550, 600]",165.0,4.0
133,1041,REP,602.0,2700,1,"(600, 650]",2700.0,1.0
135,1043,DEM,557.0,250,1,"(550, 600]",4200.0,8.0
141,1043,DEM,609.0,250,1,"(600, 650]",250.0,1.0
142,1043,REP,540.0,50,1,"(500, 550]",590.0,8.0
143,1043,REP,561.0,135,2,"(550, 600]",605.0,5.0
144,1043,REP,603.0,250,1,"(600, 650]",250.0,1.0
147,1045,DEM,558.0,66,1,"(550, 600]",526.0,5.0
151,1045,DEM,606.0,200,1,"(600, 650]",235.0,2.0
155,1045,REP,552.0,300,1,"(550, 600]",450.0,3.0
156,1045,REP,617.0,11400,6,"(600, 650]",11878.0,7.0
158,1045,REP,663.0,250,1,"(650, 700]",250.0,1.0
163,1047,DEM,572.0,100,1,"(550, 600]",100.0,1.0
164,1047,REP,543.0,15,1,"(500, 550]",265.0,2.0
165,1047,REP,573.0,15,1,"(550, 600]",265.0,2.0
167,1049,REP,538.0,15,1,"(500, 550]",430.0,4.0
169,1049,REP,573.0,15,1,"(550, 600]",15.0,1.0
170,1051,DEM,582.0,200,1,"(550, 600]",600.0,2.0
172,1051,REP,545.0,15,1,"(500, 550]",265.0,2.0
173,1051,REP,586.0,220,1,"(550, 600]",220.0,1.0
182,1053,REP,589.0,500,1,"(550, 600]",500.0,1.0
184,1055,DEM,609.0,225,1,"(600, 650]",225.0,1.0
186,1055,REP,543.0,15,1,"(500, 550]",1265.0,3.0
187,1055,REP,573.0,15,1,"(550, 600]",365.0,4.0
193,1059,DEM,575.0,100,1,"(550, 600]",200.0,2.0
195,1059,DEM,608.0,100,1,"(600, 650]",100.0,1.0
197,1059,REP,551.0,200,1,"(550, 600]",310.0,2.0
202,1061,REP,617.0,8250,10,"(600, 650]",9250.0,11.0
204,1061,REP,663.0,250,1,"(650, 700]",250.0,1.0
210,1065,DEM,578.0,200,1,"(550, 600]",200.0,1.0
212,1067,DEM,558.0,66,1,"(550, 600]",336.0,3.0
214,1067,REP,552.0,300,1,"(550, 600]",400.0,2.0
215,1067,REP,602.0,2700,1,"(600, 650]",14578.0,8.0
218,1069,DEM,558.0,66,1,"(550, 600]",336.0,3.0
221,1069,REP,552.0,300,1,"(550, 600]",15400.0,5.0
223,1069,REP,617.0,33150,21,"(600, 650]",34628.0,23.0
225,1069,REP,663.0,250,1,"(650, 700]",250.0,1.0
230,1071,REP,551.0,400,1,"(550, 600]",605.0,4.0
231,1071,REP,605.0,1000,1,"(600, 650]",1000.0,1.0
234,1073,DEM,553.0,200,1,"(550, 600]",11391.0,83.0
249,1073,DEM,602.0,2100,2,"(600, 650]",3135.0,9.0
254,1073,DEM,654.0,130,2,"(650, 700]",370.0,4.0
263,1073,REP,527.0,25,1,"(500, 550]",7354.0,85.0
270,1073,REP,553.0,170,5,"(550, 600]",33751.0,50.0
281,1073,REP,602.0,3300,4,"(600, 650]",6650.0,9.0
285,1073,REP,670.0,275,1,"(650, 700]",275.0,1.0
322,1077,DEM,582.0,100,1,"(550, 600]",100.0,1.0
324,1077,REP,552.0,15,1,"(550, 600]",130.0,3.0
331,1079,REP,543.0,15,1,"(500, 550]",15.0,1.0
332,1079,REP,573.0,15,1,"(550, 600]",170.0,3.0
334,1081,DEM,595.0,5,1,"(550, 600]",5.0,1.0
335,1081,DEM,652.0,250,2,"(650, 700]",250.0,2.0
336,1081,REP,545.0,15,1,"(500, 550]",170.0,6.0
337,1081,REP,552.0,45,1,"(550, 600]",7735.0,11.0
350,1083,DEM,573.0,100,1,"(550, 600]",185.0,3.0
354,1085,REP,543.0,15,1,"(500, 550]",275.0,2.0
355,1085,REP,573.0,15,1,"(550, 600]",15.0,1.0
358,1087,DEM,561.0,1000,1,"(550, 600]",1005.0,2.0
